Survey_Date,Zone_ID,Zone_Name,Latitude,Longitude,Base_Larval_Count,Anopheles_Count,Culex_Count,Aedes_Count,Breeding_Sites_Identified,PyResistance_Detected,OpResistance_Detected,Last_Intervention_Days_Ago,Temperature_C,Humidity_Pct,Salinity_ppt,Water_pH,Dissolved_Oxygen_mgL,NDVI_Canopy,Year,Year_Month,owner_email,owner_id,Collection_Date,State_Province,LGA_District,Sentinel_Site_Code,Latitude_DD,Longitude_DD,Collection_Method,Effort_Multiplier,Habitat_Type,Anopheles,Culex,Aedes,Mansonia,Other_Genera,Dominant_Condition,Field_Notes,Satellite_LST,Satellite_NDVI,Satellite_Soil_Moisture,Predictive_Risk_Score
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
,,,,,,,,,,,,,,,,,,,,,guest@explorer.local,guest-explorer,2026-06-16,Borno,Maiduguri,NGA-BO-MIRI-01,11.8333,13.15,CDC_Light_Trap,4.0,Concrete_Water_Tank,48.0,112.0,5.0,0.0,12.0,Fed,Collected via ODK mobile node.,34.2,0.28,0.12,87.5
